
CUSTOMMODULE9 ID,公司名称,价值,区,地址,城市,数据来源,标签,标记数字,注册资金,省,经营范围,联系电话,营销数据修改时间,营销数据修改者,营销数据创建时间,营销数据创建者,营销数据所有者,营销数据最近操作时间,营销进度,负责人,重复数据
zcrm_105530000001792873,桐城经济开发区姚军重型汽车修理厂,无,,桐城经济开发区兴源东路北侧2号101,安徽桐城,58同城,,0,,,,15856529665,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,姚军,
zcrm_105530000001792874,桐城市金星汽贸有限公司,低,,安徽省安庆市桐城市同安南路126号,安徽桐城,58同城,,0,,,,13955677767,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,李兆,
zcrm_105530000001792875,桐城市来友汽车修理厂,无,,中国安徽省安庆市桐城市同安路?,安徽桐城,58同城,,0,,,,13955693551,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,余总,
zcrm_105530000001792876,桐城市众信汽车修理厂,低,,安徽省安庆市桐城市事故停车场隔壁桐城众信汽车维修有限公司?,安徽桐城,58同城,,0,,,,18905561108,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792877,德阳开发区德宝汽车保养护理服务部,,,德阳旌阳区明江东路426号电视塔下,德阳市,58同城,,0,,,,13881915999,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,胡经理,
zcrm_105530000001792878,德阳市区兴阳汽车维修部,无,,四川省德阳市旌阳区西外街,德阳市,58同城,,0,,,,15283824088,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,小张,
zcrm_105530000001792879,旌阳区众豪汽车维修中心,中,,四川省德阳市旌阳区洛河路,德阳市,58同城,,0,,,,18016166585,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,李强,
zcrm_105530000001792880,什邡市晨鑫汽车保养快修有限公司,高,,德阳?-?什邡什邡市雍城北路91--101号,德阳市,58同城,,0,,,,18280518811,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,黄小林,
zcrm_105530000001792881,中江县鸿源汽车服务有限公司,无,,德阳?-?中江?-?凯江镇德阳中江县南华镇栖妙东巷108号,德阳市,58同城,,0,,,,18280532679,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,黄经理,
zcrm_105530000001792882,上海南汇府航汽车修理有限公司(大川公路),无,,大川公路2657,上海,百度地图,,0,,,,021-58003999,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792883,养车邦汽车服务(途虎养车店),无,,上海市松江区文翔路306号,上海,百度地图,,0,,,,021-67689750,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792884,上海中达汽车修理有限公司,,,普善路636号,上海,百度地图,,0,,,,021-56655545,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792885,上海东瑞汽车修理有限公司,高,,新陈路933号,上海,百度地图,,0,,,,021-68922898,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
