
TASKID,主题,价值,任务所有者,优先级,修改时间,修改者,涉及对象,关闭时间,创建时间,创建者,到期日期,增加营销活动信息,备注,微信状态,拨打状态,描述,标签,状态,行动摘要
zcrm_105530000001158187,方向机维修问一问黄岩新前汽修,,小薇,高,2017-12-25 02:48 下午,小丁,,2017-12-25 02:48 下午,2017-12-24 05:54 下午,零克,,,,,,,,完成,
zcrm_105530000001725958,注意！！！已到账财务记录被修改！！！,,零克,最高,2018-04-08 06:38 下午,零克,摩托车取货,2018-04-08 06:38 下午,2018-04-08 06:23 下午,小薇,2018-04-08,否,,,,,,完成,
zcrm_105530000001891083,注意！！！已到账财务记录被修改！！！,,零克,最高,2018-04-10 07:39 上午,零克,回款,2018-04-10 07:39 上午,2018-04-09 06:33 下午,小薇,2018-04-09,否,,,,,,完成,
zcrm_105530000001891185,18年春电销,,小丁,高,2018-04-13 04:09 下午,零克,温州市鹿城成祥汽车修理厂,,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001891186,18年春电销,,小丁,高,2018-04-13 04:09 下午,零克,温溪汽修,,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001891187,18年春电销,低,小丁,高,2018-04-13 05:43 下午,小丁,龙达汽修,2018-04-13 05:43 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891188,18年春电销,,小丁,高,2018-04-14 09:31 上午,小丁,华通汽车修理厂,2018-04-14 09:31 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001891189,18年春电销,低,小丁,高,2018-04-13 05:46 下午,小丁,云和锦宏汽车快修,2018-04-13 05:46 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891190,18年春电销,,小丁,高,2018-04-13 05:46 下午,小丁,长安汽车(云和镇店),2018-04-13 05:46 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001891191,18年春电销,,小丁,高,2018-04-13 04:09 下午,零克,浙江迅时捷汽车服务有限公司,,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001891192,18年春电销,,小丁,高,2018-04-13 04:09 下午,零克,缙云县恒丰汽车维修有限公司,,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001891193,18年春电销,中,小丁,高,2018-04-14 11:36 上午,小丁,宝德汽修,2018-04-14 11:36 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,修高端车 但是前台一问三不知,未添加,有效沟通,,,完成,
zcrm_105530000001891194,18年春电销,,小丁,高,2018-04-13 04:09 下午,零克,水东小车快修,,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001891195,18年春电销,无,小丁,高,2018-04-13 04:51 下午,小丁,宝驰汽车维修养护中心,2018-04-13 04:51 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001891197,18年春电销,无,小丁,高,2018-04-13 05:01 下午,小丁,缙云县源达白云山汽车修理厂,2018-04-13 05:01 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,方向机,未添加,有效沟通,,,完成,
zcrm_105530000001891199,18年春电销,低,小丁,高,2018-04-13 04:56 下午,小丁,华杰汽车快修,2018-04-13 04:56 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891200,18年春电销,中,倩倩,高,2018-04-11 02:38 下午,倩倩,职高汽车修理厂,2018-04-11 02:38 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已添加,有效沟通,,,完成,
zcrm_105530000001891203,18年春电销,,倩倩,高,2018-04-11 02:36 下午,倩倩,金越汽车修理厂,2018-04-11 02:36 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001891204,18年春电销,无,倩倩,高,2018-04-11 02:35 下午,倩倩,威远汽车维修中心,2018-04-11 02:35 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891205,18年春电销,,倩倩,高,2018-04-11 02:35 下午,倩倩,饶新汽修,2018-04-11 02:35 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891206,18年春电销,无,倩倩,高,2018-04-11 02:33 下午,倩倩,浙江惠农快修(缙云勇昌店),2018-04-11 02:33 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891207,18年春电销,,倩倩,高,2018-04-11 01:55 下午,倩倩,日通汽车修理厂,2018-04-11 01:55 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891208,18年春电销,无,倩倩,高,2018-04-11 01:53 下午,倩倩,水南小车修理,2018-04-11 01:53 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891209,18年春电销,低,倩倩,高,2018-04-10 03:19 下午,倩倩,伟青汽车修理厂,2018-04-10 03:19 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已添加,有效沟通,,,完成,
zcrm_105530000001891210,18年春电销,中,倩倩,高,2018-04-10 03:15 下午,倩倩,嘉实多龙泉市张伟汽车电器修理部,2018-04-10 03:15 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891212,18年春电销,,倩倩,高,2018-04-10 03:13 下午,倩倩,迅时捷维修特约服务站,2018-04-10 03:13 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001891213,18年春电销,,倩倩,高,2018-04-10 03:12 下午,倩倩,古市平安汽车修理厂,2018-04-10 03:12 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001891214,18年春电销,,倩倩,高,2018-04-10 03:08 下午,倩倩,浙江龙丽丽龙高速公路汽车维修服务区,2018-04-10 03:08 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001891215,18年春电销,,倩倩,高,2018-04-10 03:06 下午,倩倩,浙江金丽温高速丽水服务区汽修站,2018-04-10 03:06 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001891216,18年春电销,低,倩倩,高,2018-04-10 03:04 下午,倩倩,阿钦汽车修理厂,2018-04-10 03:04 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891217,18年春电销,无,倩倩,高,2018-04-10 03:00 下午,倩倩,遂昌月亮湾汽车维修服务中心,2018-04-10 03:00 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001891218,18年春电销,,倩倩,高,2018-04-10 02:58 下午,倩倩,财法汽车修理厂,2018-04-10 02:58 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,关门了,,有效沟通,,,完成,
zcrm_105530000001891219,18年春电销,,倩倩,高,2018-04-10 02:57 下午,倩倩,杭外汽修,2018-04-10 02:57 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
